IRL1504,05-08-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=no report,1728421371
IRL1496,02-08-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=no report,1728421371
IRL1497,27-07-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=hundreds,1728421371
IRL1498,27-07-2024,2024,1,Demonstrations,Protests,Peaceful protest,Coolock,53.3892,-6.2004,1,crowd size=about 60,1733860830
IRL1486,26-07-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=no report,1728421371
IRL1485,24-07-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=no report,1728421371
IRL1484,20-07-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=thousands,1728421371
IRL1479,19-07-2024,2024,1,Demonstrations,Protests,Peaceful protest,Coolock,53.3892,-6.2004,1,"crowd size=more than 1,000",1734479887
IRL1466,18-07-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=around 200,1721769327
IRL1474,16-07-2024,2024,1,Political violence,Riots,Mob violence,Dublin,53.3498,-6.2603,1,crowd size=no report,1728421371
IRL1463,16-07-2024,2024,1,Demonstrations,Protests,Peaceful protest,Coolock,53.3892,-6.2004,1,crowd size=around 40,1733860830
IRL1477,15-07-2024,2024,1,Demonstrations,Riots,Violent demonstration,Coolock,53.3892,-6.2004,1,crowd size=hundreds,1733860830
IRL1478,13-07-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=approximately 100,1728421371
IRL1442,09-07-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=no report,1728421370
IRL1459,08-07-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=hundreds,1728421370
IRL1439,06-07-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=thousands,1728421370
IRL1437,04-07-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=no report,1720552465
IRL1436,29-06-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=thousands,1728421370
IRL1435,29-06-2024,2024,1,Demonstrations,Protests,Peaceful protest,Collinstown,53.4213,-6.2701,1,crowd size=hundreds,1734479887
IRL1429,25-06-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=hundreds,1719939623
IRL1428,22-06-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=over 400,1728421370
IRL1424,19-06-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=no report,1719352868
IRL1423,18-06-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=up to 100,1728421370
IRL1418,09-06-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=no report,1728421370
IRL1411,28-05-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=no report,1728421370
IRL1404,25-05-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=about 60,1728421370
IRL1405,25-05-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=no report,1728421370
IRL1406,25-05-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=doznes,1728421370
IRL1393,24-05-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=no report,1728421370
IRL1402,23-05-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=no report,1728421370
IRL1401,22-05-2024,2024,1,Demonstrations,Protests,Peaceful protest,Drumcondra,53.3633,-6.2598,1,crowd size=more than 200,1728421370
IRL1387,21-05-2024,2024,1,Demonstrations,Protests,Peaceful protest,Ballyogan,53.2583,-6.1969,1,crowd size=no report,1728421370
IRL1392,21-05-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=no report,1728421370
IRL1396,21-05-2024,2024,1,Strategic developments,Strategic developments,Looting/property destruction,Tallaght,53.2878,-6.3622,1,,1728421370
IRL1400,21-05-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=no report,1728421370
IRL1391,18-05-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=thousands,1728421370
IRL1379,15-05-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=no report,1728421370
IRL1382,11-05-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=no report,1716327784
IRL1380,10-05-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=no report,1716327784
IRL1375,06-05-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,"crowd size=around 5,000",1728421370
IRL1374,03-05-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=no report,1734479887
IRL1370,02-05-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=about 40,1728421370
IRL1366,02-05-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=dozens,1734479887
IRL1367,30-04-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=hundreds,1728421370
IRL1369,30-04-2024,2024,1,Demonstrations,Protests,Peaceful protest,Dublin,53.3498,-6.2603,1,crowd size=around a dozen,1728421370
